Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for UK
Areal series, starting in 1891
Last updated 01-May-2020 15:15
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1945   14.9   15.6    8.9   10.0   16.0   16.4   10.9   10.3   13.2   11.2    5.9   17.0    45.5    34.8    37.6    30.4   150.2
1946   14.1   14.2    9.0    9.1    9.9   17.9   14.4   18.9   18.2    6.3   19.9   16.9    45.2    28.1    51.2    44.4   168.9
1947   14.6    8.7   19.9   14.7   13.1   14.1   12.9    2.0   12.9    7.9   16.0   13.4    40.2    47.6    29.1    36.8   150.1
1948   22.9   12.0    8.1   11.9   10.8   16.9   11.1   15.8   13.6   14.3   11.8   15.7    48.2    30.8    43.8    39.7   164.8
1949   13.5   11.3    9.5   13.3   12.2    6.4    8.0   11.1    8.2   16.5   17.9   18.6    40.5    35.0    25.5    42.6   146.5
1950   10.0   16.8   10.7   17.4    9.7   10.6   16.3   18.6   21.3   12.6   18.5   14.8    45.3    37.8    45.5    52.4   177.3
1951   17.2   17.6   17.2   14.3   11.1    8.9   11.1   19.1   12.1    7.3   21.8   17.6    49.6    42.6    39.1    41.2   175.3
1952   16.9    9.0   12.4   10.9   11.3   12.0    9.7   14.7   14.5   15.7   14.2   18.4    43.5    34.7    36.3    44.3   159.7
1953    9.2   10.4    5.4   13.8   10.5   11.3   18.9   13.9   13.2   11.0   14.0   12.0    38.0    29.7    44.1    38.2   143.6
1954   12.4   15.7   13.1    5.9   12.6   13.3   15.6   17.4   19.5   19.1   19.5   16.8    40.2    31.5    46.3    58.0   180.7
1955   13.6   13.6    8.5    9.4   16.3   11.1    3.5    6.4   12.8   12.7    9.9   18.7    43.9    34.1    21.1    35.4   136.5
1956   18.0    9.4    8.1    9.0    8.5   13.4   14.2   20.2   13.0   12.3   10.0   18.0    46.1    25.6    47.8    35.3   154.1
1957   16.4   15.5   15.1    6.2   10.1    9.7   16.1   15.4   16.6   13.7    9.4   14.7    49.9    31.4    41.2    39.6   158.8
1958   15.8   16.2   10.5    8.5   15.0   15.0   14.9   17.6   13.5   14.0    8.8   17.2    46.7    34.0    47.5    36.4   167.1
1959   13.6    5.2   13.4   15.4    7.0   11.3   11.1    7.1    3.6   12.8   18.3   22.8    35.9    35.7    29.5    34.7   141.4
1960   16.2   15.0   10.1   10.3    6.7    9.7   18.8   18.3   13.6   19.8   21.1   16.7    54.0    27.1    46.8    54.4   176.3
