Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,WIN,SPR,SUM,AUT,ANN
2004,19.8,10.5,12.4,14.7,8.7,12.4,12,16.1,13.2,18.6,13.2,13.6,44.7,35.8,40.4,45,165.1
2005,15.1,11.9,11.5,13.5,12.5,10.4,8.7,11.8,12.6,15.1,13.8,11.7,40.6,37.5,31,41.6,148.7
2006,9,10.3,16.1,12.1,16.2,6.6,8,14,12.7,17.1,17.1,16.2,30.9,44.4,28.6,46.9,155.3
2007,18.7,16.2,11.7,4.2,15.2,14.5,17.2,11.1,9.9,8.2,14.2,13.7,51.1,31.1,42.8,32.4,154.7
2008,20.5,9.9,18.1,14.9,7.1,11.5,13.2,17.6,12.8,16.4,15.4,11.3,44,40.2,42.3,44.6,168.7
2009,15,10.4,12.1,10.4,13.4,8.7,18.5,14.8,7.5,14.1,22.1,16.9,36.7,35.9,42,43.7,163.9
2010,13.6,13.8,11.8,8.5,8.7,6.6,13.8,13.8,13.7,13.2,16.3,9.5,44.3,29,34.3,43.2,143.4
2011,13.3,16,7.8,5.5,14.1,13.3,10.4,14.1,14.6,15.8,12.2,20.8,38.8,27.3,37.8,42.5,157.7
2012,14.6,9.1,6.5,18.2,10,16.4,16.4,15.3,13.5,16.3,16.3,19.8,44.5,34.6,48.2,46,172.3
2013,15.7,8.8,10.5,10.4,13.1,9.2,8.3,11,11,19.1,14,18.9,44.3,34.1,28.5,44.2,150.2
2014,23.4,20.1,12.5,11.2,15.2,9.4,10.1,16.6,4.9,17.9,16.2,15.7,62.5,38.8,36.2,39,173.2
2015,18.8,11.3,13,8.9,15.4,9.2,15.9,14.2,8.5,10.3,20.8,22.3,45.8,37.3,39.3,39.5,168.4
2016,20.6,13.9,12,15.1,9.3,14.1,12.8,11.4,13.5,8.4,12.9,11.3,56.8,36.4,38.3,34.9,155.4
2017,12.5,13.9,14.6,7.4,9.7,12.9,14.7,14.5,17.7,13.9,15.5,16.9,37.8,31.7,42,47.1,164.2
2018,18,11.6,15.5,13.5,7.9,5,7.5,13.2,12.7,11.9,14.7,15.9,46.5,37,25.6,39.3,147.4
2019,11,10.5,16.2,,,,,,,,,,37.3,,,,
